 input parameter from : input/param_16.in                                                                                                               
r0, slope_xi:    1.000   1.850
v_inflow, r_inflow, slope_v12:  180.000   1.000   1.850
v_outflow, r_outflow:    0.000   1.000
s12_0:  200.000
r_eq, betaN:    0.010   1.450
  484     9.6700E+00     3.4536E+00     2.7037E-37
  485     9.6900E+00     3.4607E+00     2.6833E-37
  486     9.7100E+00     3.4679E+00     2.6631E-37
  487     9.7300E+00     3.4750E+00     2.6431E-37
  488     9.7500E+00     3.4821E+00     2.6234E-37
  489     9.7700E+00     3.4893E+00     2.6038E-37
  490     9.7900E+00     3.4964E+00     2.5845E-37
  491     9.8100E+00     3.5036E+00     2.5654E-37
  492     9.8300E+00     3.5107E+00     2.5465E-37
  493     9.8500E+00     3.5179E+00     2.5278E-37
  494     9.8700E+00     3.5250E+00     2.5093E-37
  495     9.8900E+00     3.5321E+00     2.4910E-37
  496     9.9100E+00     3.5393E+00     2.4729E-37
